corrected_gold,fever_id,claim,original_gold,explanation
Drop,34461,"Jewell is best known for her song ""Love or Lust,"" featured in Bill Duke's film, Deep Cover.",True,"Her bio notes she’s best known for “Love or Lust” in Deep Cover and for Death Row hooks."
Drop,35237,Philomena is a film nominated for seven awards.,True,"More than 7 overall"
True,36333,Underdog was directed by a Belgian film director.,True,"Director Frederik Du Chau is Belgian."
False,37996,Victoria Palace Theatre is in a place named after Queen Elizabeth.,False,"It’s in Victoria, London—named after Queen Victoria, not Queen Elizabeth."
False,38110,"The Adventures of Pluto Nash stars an actor that was born on February 5, 1961.",False,"No principal cast member has that birthdate (Eddie Murphy: April 3, 1961)."
True,38141,Rick Ross made more than eight studio albums.,False,"He has released 10+ solo studio albums (e.g., through 2021/2023), i.e., more than eight."
False,38654,Hannah and Her Sisters ends with a Christmas dinner.,False,"It begins and ends with family Thanksgiving dinners."
Drop,41780,Britt Robertson was in the film series Girlboss.,True,"Girlboss is a TV series (Netflix), not a film series"
False,44347,Duff McKagan was born in May of 1964.,False,"He was born February 5, 1964."
True,50529,Veep has won the Television Critics Association Award for Outstanding Achievement in Comedy.,True,"Yes—tied for the award in 2014 (with Louie)."
False,51323,Thomas Jefferson did not found the University of Virginia.,False,"He founded UVA (conceived it, secured its charter, designed campus/curriculum)."
Drop,52907,The CONCACAF Champions League is almost an annual continental football club competition.,True,"It’s an annual competition; “almost annual” is inaccurate."
Drop,53760,Garden State was chosen in an official manner.,True,"The film was an Official Selection of the Sundance Film Festival."
True,54411,Babur was born in 1483.,True,"Correct—born 14 February 1483."
Drop,55041,The Times is a website.,False,"The Times is a British newspaper (it has a website, but it isn’t “a website”)."
Drop,55956,Adam Lambert was the first openly gay artist to top the album charts.,True,"True for the U.S. Billboard 200 (2012); not true globally. Claim lacks region → ambiguous."
Drop,56284,Chest sensation is one symptom of pulmonary embolism.,True,"PE commonly causes chest pain/pressure/discomfort—i.e., a chest sensation."
True,60044,"None of the actors in Men in Black II were born on September 15, 1968.",False,"Correct: e.g., Will Smith is September 25, 1968; TLJ is September 15, 1946."
True,61641,Francis I of France had the popular nickname Francis of the Large Nose.,False,"Known as “François au Grand Nez” (“Francis of the Large Nose”)."
False,62298,Recovery is an Eminem song.,False,"Recovery is a studio album (2010), not a song."
True,63627,Rhythm Nation was covered by an American singer and songwriter.,True,"Covered by P!nk (American singer-songwriter), among others."
Drop,64142,The Fame sold 4.7 million digital copies as of April 2016.,True,"The ≈4.7M figure is total U.S. album sales, not digital-only."
True,64660,Charles de Gaulle was used as the basis of a French political stance.,False,"Gaullism is a political stance derived from de Gaulle’s ideas/leadership."
Drop,66211,Psych (season 2) originally aired off of the USA Network.,False,"It originally aired ON USA Network. OFF is negation. But unnatural phrasing."
True,67818,"On January 5, 1998, Sonny Bono perished.",False,"He died on January 5, 1998 (skiing accident)."
True,68043,Uranium-235 was discovered by a person who was born in August.,True,"Discovered by Arthur J. Dempster—born August 14, 1886."
True,69238,No Country for Old Men is a drama.,True,"Commonly classified as a crime/neo-western thriller and drama."
True,69883,Chris Benoit is from North America.,False,"He was Canadian (born in Montreal; raised in Edmonton)."
Drop,70041,2 Hearts is a musical composition by Minogue.,True,"She recorded it, but the composition is by Kish Mauve; not “by Minogue.”"
Drop,72194,Mellila is a city.,True,"“Mellila” (Morocco) is a rural commune; the Spanish autonomous city is “Melilla.”"
Drop,73412,Marco Polo was an Asia.,,"He was a Venetian (European) explorer; not “an Asia.”"
True,74163,"George III of the United Kingdom experienced Great Britain as a dominant European power, including over the territories it controlled in America and India.",False,"Despite losing the 13 colonies, Britain was a great power and expanded dominance in India during his reign."
Drop,77028,Janet Leigh was a singer.,True,"She is credited as actress, singer, and dancer. Not known for singing, often dubbed"
False,78855,Henry Condell had zero widows.,False,"He was married to Elizabeth, who survived him (his widow)."
Drop,78859,Lemmy was recognized for his looks.,True,"He was known for his distinctive appearance (e.g., mutton chops). But not good looks"
Drop,80303,Sandra Bullock was part of the George Lopez crew.,True,"She helped develop and was an executive producer; also made guest appearances. Not day to day crew"
Drop,80984,Clueless (film) was followed by one young adult novel.,False,"It spawned a series of YA tie-in novels, not just one."
Drop,81609,The Hit is a painting.,False,"Common reference is the 1984 film The Hit; There is a painting too"
Drop,82883,Craig David has been nominated for several Grammy Awards.,False,"He has two Grammy nominations; “several” usually implies ≥3."
True,83454,Scandinavia does not contain Greenland.,False,"Scandinavia = Norway/Sweden/Denmark (Greenland is Nordic but not Scandinavian)."
False,84272,Mud has a Canadian in its cast.,False,"Principal cast are American; no clear Canadian among credited main cast."
False,85350,"Andrew Kevin Walker was born on Monday August 14, 1964.",True,"He was born on that date, but it was a Friday (not Monday)."
Drop,86914,Gin is a berry flavoured spirit.,True,"Gin is legally juniper-flavoured; juniper “berries” provide the predominant flavor."
False,87187,The Washington Monument is between 560 ft and 575 ft tall.,True,"It’s ~555 ft tall (≈554'7⅜''), below the stated range."
Drop,87414,John Goodman is a singer.,False,"He’s primarily an actor; singing occurred within roles, not as his profession."
False,90080,Terry Crews played on the Los Angeles Rams in 1996.,False,"He played for the LA Rams in 1991; by 1996 they were the St. Louis Rams."
False,91498,Tiber Oil Field is a landlocked oil field.,True,"It’s an ultra-deepwater offshore field in the Gulf of Mexico."
True,92641,David Packouz was born in the 1980's.,True,"He was born in 1982."
True,93307,Food Network is offered in a federal democracy based on a constitution.,True,"It’s carried in the United States, a federal constitutional democracy."
Drop,93546,Advertising is used to sell a way of doing things.,,"Advertising also promotes ideas/behaviors/lifestyles (i.e., ways of doing things), not just products."
False,93894,Johnny Van Zant released a solo album in 1992.,False,"His next solo album was Brickyard Road (1990); no solo release in 1992."
False,96765,Nymphomaniac (film) is not part of a trilogy.,False,"It’s the third film in Lars von Trier’s ‘Depression Trilogy.’"
False,96943,Hot Right Now is off of DJ Fresh's fourth album.,False,"It’s from his third studio album, Nextlevelism (2012)."
False,97458,The final season of Lost was watched by by an average of 9.6 million viewers per episode.,False,"Season 6 averaged ~11M viewers per episode (U.S.)."
False,97576,Yin and yang is a Taoist moral concept.,True,"not primarily a moral concept"
Drop,97589,The Adventures of Pluto Nash was released in Africa.,False,"Not listed, but should have been available in South Africa"
Drop,99213,Virginia's largest export by monetary value is a computer component.,True,"Computer chips led in 2002, but recent years vary (coal/semiconductors/machinery); without a year, “is” is time-ambiguous."
False,100446,Shomu Mukherjee died of a heart attack in November.,False,"He died of a heart attack on April 10, 2008."
Drop,101604,The second album of Danny Brown was named XXX.,False,"XXX sits in the grey area between mixtape and album"
False,102884,See You on the Other Side was certified gold in the US in January 2016.,False,"Gold certification was January 12, 2006 (platinum March 16, 2006)."
Drop,103116,"Jack Dylan Grazer is a child actor, who is an American.",True,"He is American and began his career as a child actor."
False,104930,"The Stanford prison experiment was funded by an organization that coordinates, executes, and promotes the science and technology programs of the U.S. Army and Marine Corps.",False,"It was funded by the Office of Naval Research (Navy & Marine Corps), not the Army."
Drop,105176,The Washington Wizards were the winners of four conference titles.,True,"Franchise (then the Bullets) won four Eastern Conference titles: 1971, 1975, 1978, 1979."
False,105540,Nymphomaniac (film) is not an installment in a trilogy.,False,"It completes the ‘Depression Trilogy’ (after Antichrist and Melancholia)."
Drop,106478,AMGTV has science fiction television programming.,False,"Network’s described lineup (drama, sports, movies, how-to, etc.) doesn’t list sci-fi; no reliable evidence it carries that genre. Some movies can be sci-fi"
Drop,106668,Sean Penn has acted in 13 films.,True,"He has appeared in dozens of films—far more than 13."
True,107307,"On April 8, 1974, Chris Kyle was born.",True,"Correct—born April 8, 1974."
Drop,107364,Night of the Living Dead is a 1990 cinematic work from the United States.,False,"Title refers to a 1968 U.S. film, but there is also a 1990 U.S. remake"
False,108880,"Harold Macmillan was born on Monday February 10, 1894.",False,"February 10, 1894 fell on a Saturday."
Drop,110538,John Frusciante released twelve solo albums.,False,"Counts shifted: long cited as 11; as of 2023 he has 13"
Drop,111764,Winter's Tale is by an American.,True,"“Winter’s Tale” (no “The”) is the 1983 novel by American author Mark Helprin. But THE Winter's tale is a Shakespeare play"
Drop,112166,Kerplunk was Green Day's second album with Tré Cool as their drummer.,False,"Kerplunk! was second but the first Green Day album to feature Tré Cool."
False,113098,"The Concert for Bangladesh raised close to $250,000 for Haiti relief.",False,"The 1971 concert raised funds for Bangladesh (≈$250k initially), not Haiti."
Drop,114984,Shut Up debuted at number 33.,False,"Multiple songs titled “Shut Up”; e.g., Stormzy’s debuted at #59, Kelly Osbourne’s at #33 (UK). Artist/market unspecified."
True,115183,The United States dollar is not exclusively used in the United States.,False,"Several countries/territories also use USD as legal tender; it’s widely used globally."
False,115211,"See You on the Other Side was certified platinum on March 8, 2006.",False,"RIAA platinum certification date was March 16, 2006."
True,115659,"In the 1970's, Samsung entered the construction industry.",False,"Samsung moved into construction in the mid-1970s (e.g., Samsung Construction, 1977)."
True,117409,Starrcade was eventually broadcast via pay-per-view umbrella.,False,"It started on closed-circuit TV and later became a pay-per-view event."
Drop,120060,Vampires rarely visited loved ones.,False,"European folklore typically says vampires often visited loved ones after death."
True,121468,Homo sapiens are on the IUCN Red List.,True,"Listed as least-concern: https://www.iucnredlist.org/species/pdf/4313662"
True,122692,"The Residenztheater is where Hedda Gabler's world premiere took place.",True,"Yes, that theater in 1891"
False,124862,"How to Train Your Dragon 2 used old animation software.",False,"New software was developed for that movie"
True,124993,Doxycycline may cause headaches.,False,"Documented by NHS"
False,126773,"Uranium-235 was discovered by a person who was born in July.",False,"Arthur Jeffrey Dempster born in August 14, 1886"
Drop,127363,"Colin Kaepernick is quarterback for the 49ers.",True,"He was, but not anymore"
True,127981,Zoe Saldana was born on June 19.,True,"Wiki confirms"
False,129066,Dev Patel has not worked with Neill Blomkamp.,True,"Movie Chappie"
Drop,129221,Colin Kaepernick starts for the San Francisco 49ers.,True,"It was true, but not presently"
Drop,130248,Aldous Huxley barely published scripts.,True,"Few scripts compared to a large body of prose work"
False,134097,Lockhead Martin F-35 Lightning II first flew in 2008.,False,"Flew in 2006"
False,134387,2016 Tour de France was not won by Chris Froome.,True,"Chris Froome indeed won"
Drop,134682,The Lincoln-Douglas debates happened in a town.,False,"In several towns, correct. But too trivial"
True,136290,Java is an landform.,True,"Yes, an island"
False,137335,"Kerplunk, released in 1990, was Green Day's last album on the Lookout Records label.",False,"1991"
True,137842,Arizona is a mass-marketed beverage.,False,"AriZona Beverages iced teas"
True,138375,Mary of Teck's son married a Wallis Simpson.,True,"Edward VIII (her son) married her"
Drop,138632,"Gal Gadot was ranked ahead of Bar Refaeli for highest earning actress/models in Israel.",False,"Time related"
False,138708,Physics' main goal is to observe the behavior of the universe.,False,"More like understand and predict"
Drop,139365,Ron Dennis is the owner of Absolute Taste.,True,"Time dependent"
False,139661,Colombiana was produced by Luc Besson in 2001.,True,"2011"
False,142286,Shadowhunters did not begin its second season in January 2017.,True,"It did"
False,142462,"During the Battle of France, English forces occupied Paris.",True,"German forces"
False,142638,"Scotty Moore was born on May 27, 1931.",False,"December"
True,142717,A person who was born in August discovered Uranium-235.,True,"Arthur Jeffrey Dempster born in Aug"
True,143042,Staton is the middle name of Matt Bomer.,True,"Matthew Staton Bomer"
False,143144,Henri Kontinen won the Australian Open men's doubles championship in 2011.,True,"2017 not 2011"
Drop,145491,George III of the United Kingdom had experiences.,False,"Duh..."
True,149392,Maximum Overdrive is a 1986 science fiction action horror comedy film written and directed by Stephen King.,True,"sometimes comedic, yes"
True,152694,Ricardo Montalbán was a singer.,False,"Yes, performed in musicals"
Drop,153303,EA Black Box was a picture game developer.,True,"Video game, not picture. Weird substitution."
False,154314,Southern Hospitality was unable to reach the Top 40.,False,"Peaked at 23 in 2001"
Drop,154989,Poldark has three series.,True,"5 not 3"
False,156102,"LaKeith Stanfield was born on March 12, 1991.",False,"August"
False,157434,Miranda Otto is the aunt of actress Gracie Otto.,False,"Sister"
False,160304,French Indochina was unofficially known as the Indochinese Union then the Indochinese Federation.,False,"officially, not unofficially"
Drop,160864,"Frequently, French Indochina is abbreviated.",True,"No common abbrev., can be just Indochina"
True,161222,Gal Gadot was ranked ahead of Shlomit Malka for Israel's highest earning actress/models.,True,"In 2013"
Drop,165653,Tom Baker has reviewed video games.,False,"Common name"
Drop,168003,Don Bradman had anything but declining years.,False,"Unnatural phrasing"
Drop,169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,False,"Not immediately. Ambiguous claim."
Drop,169032,Manmohan Singh was the first Sikh in office in 2009.,True,"Started in 2004, but was around in 2009"
False,171890,"To test the validity of experiments, research is used.",True,"Backwards"
True,175436,A manga series illustrated by Takeshi Obata is the basis for the Japanese television drama series Death Note.,True,"illustrated Death Note manga"
Drop,177529,Brick Mansions starred Belle.,True,"Claims should be more precise"
False,177842,Milk is based on the life of Harvey Dent.,False,"Harvey Milk, not Dent"
True,179025,Jerry Robinson mentored Steve Ditko.,True,"Yes, Ditko studied under him"
Drop,180578,Swordfish (film) is a film that is about a type of person.,True,"Weird statement"
False,180722,Victoria (Dance Exponents song) peaked at number 10 on the New Zealand Singles chart.,False,"Peaked at #6"
Drop,181206,Southpaw is an American novel.,False,"It's a film, but there is 'The Southpaw' novel"
Drop,184083,Ernest Medina participated in the My Lai Massacre.,True,"Present, direct participation wasn't proven"
False,186598,Asylum Records is an American record label founded in 1979 by David Geffen and partner Elliot Roberts.,True,"Founded in 1971"
True,187571,Dan Brown published a 2003 bestselling novel.,False,"Dan Brown published The Da Vinci Code in 2003"
Drop,189452,Yandex operates in Lithuania.,False,"Did launch there, but not present at the moment"
True,190153,In 1995 Oscar de la Hoya was named Fighter of the Year.,True,"named Fighter of the Year by The Ring magazine in 1995"
False,193844,"Ed Gagliardi died on April 11, 2014.",True,"May 11"
True,198066,Story of My Life was recorded by an English Irish band.,True,"'Story of My Life' is a song recorded by English Irish boy band One Direction"
True,198082,Story of My Life was recorded by a band that consisted of only boys.,True,"One Direction is a boy band"
Drop,199263,Prince Charles and Lady Diana's wedding anniversary was a traditional wedding service.,True,"anniversary is not a service"
True,199746,Tijuana is in Mexico.,False,"City in Mexico"
Drop,199817,Sweet Home Alabama is a lyric poem that was written in reply to Neil Young's song Southern Man.,False,"It's a song, not a poem"
False,201098,Marcus Bentley is an American broadcaster.,True,"British, not American"
True,203373,Goosebumps (film) is based on a story by Scott Alexander and Larry Karaszewski.,True,"Film credits the story to them"
True,204415,Brad Wilk was a member of Greta in 1990.,True,"Drummer for Greta"
True,204421,Brad Wilk was a drummer for Greta.,True,"Yes"
Drop,204551,Commodore is ranked superior to a navy captain.,True,"No longer used"
Drop,207332,Military deception is a form of disinformation.,True,"includes it, but broader"
Drop,207526,"""I Want You Back"" was released by Mel B.",True,"Two famous songs with the same name"
True,211021,Resident Evil is the first installment in the Resident Evil video game series.,False,"Yes, first game in 1996"
Drop,212767,The undergraduate college of Harvard University became coeducational after its merger with Radcliffe College.,True,"was coed before that"
False,213927,"In 1994, Gray Matter Interactive Studios, Inc. was founded.",True,"1993 as Xatrix or 1999 as Gray Matter"
Drop,215476,Weekly Idol is hosted by Jeong Hyeong-don.,True,"Time dependent"
Drop,215504,Weekly Idol is hosted by a rapper.,True,"Time dependent"
Drop,221132,Ted Cruz is from the United States.,True,"Born in Calgary, but is US citizen"
Drop,223692,UNICEF UK is one of 36 UNICEF National Committees.,True,"Currently there are 32. Time dependent."
False,225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.,True,"Released in 1966"
False,226153,Richard Dawkins has been awarded prestigious film awards.,True,"He is a biologist, not a filmmaker"
Drop,229303,A working animal is trained to perform tasks.,True,"Some work without formal training (livestock guardian dogs)"
